le,operation,statusCode,min,max,avg,sum,last,integral
4.642,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
4.642,ChangeTopLevelResource,OK,0,0,0,0,0,0
4.642,ConvertAllToBasicGroups,OK,0,3,1.1747534029097153,586.201948051948,3,2026500.1344155846
4.642,ConvertToBasicGroup,OK,0,0,0,0,0,0
4.642,ConvertToExternalGroup,OK,0,0,0,0,0,0
4.642,CreateAccessKey,OK,0,0,0,0,0,0
4.642,CreateApiKey,OK,0,0,0,0,0,0
4.642,CreateExternalGroup,OK,0,7,5.011478193541233,2500.727618577075,7,8645015.37742095
4.642,CreateFederatedCredential,OK,0,0,0,0,0,0
4.642,CreateFederation,OK,0,0,0,0,0,0
4.642,CreateGroup,OK,0,53,27.373462151198694,13659.357613448148,53,47220399.26969024
4.642,CreateKey,OK,0,0,0,0,0,0
4.642,CreateMicroservice,OK,0,304,97.19395663601408,47625.0387516469,304,164639758.9644433
4.642,CreateOAuthClient,OK,0,0,0,0,0,0
4.642,CreateOAuthClientSecret,OK,0,0,0,0,0,0
4.642,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
4.642,CreateServiceAccount,OK,0,0,0,0,0,0
4.642,CreateSubjectContainer,OK,0,0,0,0,0,0
4.642,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
4.642,CreateSystemFolder,OK,0,0,0,0,0,0
6.813,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
6.813,ChangeTopLevelResource,OK,0,0,0,0,0,0
6.813,ConvertAllToBasicGroups,OK,0,0,0,0,0,0
6.813,ConvertToBasicGroup,OK,0,0,0,0,0,0
6.813,ConvertToExternalGroup,OK,0,0,0,0,0,0
6.813,CreateAccessKey,OK,0,0,0,0,0,0
6.813,CreateApiKey,OK,0,0,0,0,0,0
6.813,CreateExternalGroup,OK,0,39,6.973367915013162,3479.710589591568,39,12029359.50821805
6.813,CreateFederatedCredential,OK,0,0,0,0,0,0
6.813,CreateFederation,OK,0,0,0,0,0,0
6.813,CreateGroup,OK,0,21,10.802699455941811,5390.547028514964,21,18635121.077576224
6.813,CreateKey,OK,0,0,0,0,0,0
6.813,CreateMicroservice,OK,0,78,38.36951947859889,18801.064544513454,78,64995280.13038304
6.813,CreateOAuthClient,OK,0,0,0,0,0,0
6.813,CreateOAuthClientSecret,OK,0,0,0,0,0,0
6.813,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
6.813,CreateServiceAccount,OK,0,0,0,0,0,0
6.813,CreateSubjectContainer,OK,0,0,0,0,0,0
6.813,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
6.813,CreateSystemFolder,OK,0,1,0.29376700680272105,143.94583333333333,1,497620.74583333335
10.0,ChangeTopLevelResource,FAILED_PRECONDITION,0,0,0,0,0,0
10.0,ChangeTopLevelResource,OK,0,0,0,0,0,0
10.0,ConvertAllToBasicGroups,OK,0,1,0.24565653045220875,122.58260869565217,1,423768.0782608696
10.0,ConvertToBasicGroup,OK,0,0,0,0,0,0
10.0,ConvertToExternalGroup,OK,0,0,0,0,0,0
10.0,CreateAccessKey,OK,0,0,0,0,0,0
10.0,CreateApiKey,OK,0,0,0,0,0,0
10.0,CreateExternalGroup,OK,0,21,3.713594910506124,1853.083860342556,21,6406110.905204216
10.0,CreateFederatedCredential,OK,0,0,0,0,0,0
10.0,CreateFederation,OK,0,0,0,0,0,0
10.0,CreateGroup,OK,0,7,3.420768843352053,1706.9636528326744,7,5900973.3478425555
10.0,CreateKey,OK,0,0,0,0,0,0
10.0,CreateMicroservice,OK,0,18,8.40361885748088,4117.773240165631,18,14235142.09125259
10.0,CreateOAuthClient,OK,0,0,0,0,0,0
10.0,CreateOAuthClientSecret,OK,0,0,0,0,0,0
10.0,CreateOsLoginProfile,OK,NaN,NaN,NaN,0,NaN,0
10.0,CreateServiceAccount,OK,0,0,0,0,0,0
10.0,CreateSubjectContainer,OK,0,0,0,0,0,0
10.0,CreateSystemFolder,FAILED_PRECONDITION,0,0,0,0,0,0
10.0,CreateSystemFolder,OK,0,0,0,0,0,0
