le,operation,min,max,avg,sum,last,integral
100,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
100,DeleteOAuthApplication,0,0,0,0,0,0
100,DeleteDomain,0,0,0,0,0,0
100,DeleteApplication,0,0,0,0,0,0
100,CreateUserpool,0,0,0,0,0,0
100,CreateSamlApplication,0,0,0,0,0,0
100,CreateOAuthApplication,0,0,0,0,0,0
100,AddDomain,0,0,0,0,0,0
68.129,UpdateUserpoolAccessBindings,0,0,0,0,0,0
68.129,UpdateUserpool,0,0,0,0,0,0
68.129,UpdateUser,0,0,0,0,0,0
68.129,UpdateSamlApplicationAssignments,0,0,0,0,0,0
68.129,UpdateSamlApplication,0,0,0,0,0,0
68.129,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
68.129,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
68.129,UpdateOAuthApplication,0,0,0,0,0,0
68.129,UpdateAssignments,0,0,0,0,0,0
68.129,UnlinkOAuthClient,0,0,0,0,0,0
68.129,SuspendSamlApplication,0,0,0,0,0,0
68.129,SuspendOAuthApplication,0,0,0,0,0,0
68.129,SetPasswordHash,0,0,0,0,0,0
68.129,SetOthersPassword,0,0,0,0,0,0
68.129,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
68.129,ReactivateSamlApplication,0,0,0,0,0,0
68.129,ReactivateOAuthApplication,0,0,0,0,0,0
68.129,DeleteSamlApplication,0,0,0,0,0,0
68.129,DeleteOrganizationSamlApplications,0,0,0,0,0,0
68.129,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
68.129,DeleteOAuthApplication,0,0,0,0,0,0
68.129,DeleteDomain,0,0,0,0,0,0
68.129,DeleteApplication,0,0,0,0,0,0
68.129,CreateUserpool,0,0,0,0,0,0
68.129,CreateSamlApplication,0,0,0,0,0,0
68.129,CreateOAuthApplication,0,0,0,0,0,0
68.129,AddDomain,0,0,0,0,0,0
46.416,UpdateUserpoolAccessBindings,0,0,0,0,0,0
46.416,UpdateUserpool,0,0,0,0,0,0
46.416,UpdateUser,0,0,0,0,0,0
46.416,UpdateSamlApplicationAssignments,0,0,0,0,0,0
46.416,UpdateSamlApplication,0,0,0,0,0,0
46.416,UpdateOAuthApplicationAssignments,0,0,0,0,0,0
46.416,UpdateOAuthApplicationAccessBindings,0,0,0,0,0,0
46.416,UpdateOAuthApplication,0,0,0,0,0,0
46.416,UpdateAssignments,0,0,0,0,0,0
46.416,UnlinkOAuthClient,0,0,0,0,0,0
46.416,SuspendSamlApplication,0,0,0,0,0,0
46.416,SuspendOAuthApplication,0,0,0,0,0,0
46.416,SetPasswordHash,0,0,0,0,0,0
46.416,SetOthersPassword,0,0,0,0,0,0
46.416,SetOAuthApplicationAccessBindings,0,0,0,0,0,0
46.416,ReactivateSamlApplication,0,0,0,0,0,0
46.416,ReactivateOAuthApplication,0,0,0,0,0,0
46.416,DeleteSamlApplication,0,0,0,0,0,0
46.416,DeleteOrganizationSamlApplications,0,0,0,0,0,0
46.416,DeleteOrganizationOAuthApplications,0,0,0,0,0,0
46.416,DeleteOAuthApplication,0,0,0,0,0,0
46.416,DeleteDomain,0,0,0,0,0,0
